result	table	_time	device	value
_result	0	2022-01-12 14:03:32.509000+00:00	CL800-0306605	72
_result	0	2022-01-12 14:03:32.924000+00:00	CL800-0306605	72
_result	0	2022-01-12 14:03:33.310000+00:00	CL800-0306605	71
_result	0	2022-01-12 14:03:33.616000+00:00	CL800-0306605	71
_result	0	2022-01-12 14:03:34.041000+00:00	CL800-0306605	71
_result	0	2022-01-12 14:03:34.991000+00:00	CL800-0306605	71
_result	0	2022-01-12 14:03:35.012000+00:00	CL800-0306605	71
_result	0	2022-01-12 14:03:35.736000+00:00	CL800-0306605	71
_result	0	2022-01-12 14:03:36.726000+00:00	CL800-0306605	71
_result	0	2022-01-12 14:03:37.567000+00:00	CL800-0306605	70
_result	0	2022-01-12 14:03:38.393000+00:00	CL800-0306605	69
_result	0	2022-01-12 14:03:39.377000+00:00	CL800-0306605	69
_result	0	2022-01-12 14:03:40.121000+00:00	CL800-0306605	69
_result	0	2022-01-12 14:03:40.993000+00:00	CL800-0306605	68
_result	0	2022-01-12 14:03:41.783000+00:00	CL800-0306605	69
_result	0	2022-01-12 14:03:42.605000+00:00	CL800-0306605	68
_result	0	2022-01-12 14:03:43.403000+00:00	CL800-0306605	68
_result	0	2022-01-12 14:03:44.277000+00:00	CL800-0306605	69
_result	0	2022-01-12 14:03:45.106000+00:00	CL800-0306605	69
_result	0	2022-01-12 14:03:45.882000+00:00	CL800-0306605	68
_result	0	2022-01-12 14:03:46.726000+00:00	CL800-0306605	68
_result	0	2022-01-12 14:03:47.527000+00:00	CL800-0306605	69
_result	0	2022-01-12 14:03:48.294000+00:00	CL800-0306605	69
_result	0	2022-01-12 14:03:49.941000+00:00	CL800-0306605	69
_result	0	2022-01-12 14:03:49.982000+00:00	CL800-0306605	69
_result	0	2022-01-12 14:03:50.962000+00:00	CL800-0306605	69
_result	0	2022-01-12 14:03:51.952000+00:00	CL800-0306605	70
_result	0	2022-01-12 14:03:52.942000+00:00	CL800-0306605	70
_result	0	2022-01-12 14:03:53.932000+00:00	CL800-0306605	70
_result	0	2022-01-12 14:03:54.994000+00:00	CL800-0306605	72
_result	0	2022-01-12 14:03:55.973000+00:00	CL800-0306605	73
_result	0	2022-01-12 14:03:56.933000+00:00	CL800-0306605	73
_result	0	2022-01-12 14:03:58.004000+00:00	CL800-0306605	74
_result	0	2022-01-12 14:03:58.952000+00:00	CL800-0306605	75
_result	0	2022-01-12 14:03:59.999000+00:00	CL800-0306605	76
_result	0	2022-01-12 14:04:01.019000+00:00	CL800-0306605	76
_result	0	2022-01-12 14:04:01.974000+00:00	CL800-0306605	76
_result	0	2022-01-12 14:04:02.953000+00:00	CL800-0306605	76
_result	0	2022-01-12 14:04:49.214000+00:00	CL800-0306605	81
_result	0	2022-01-12 14:04:49.538000+00:00	CL800-0306605	80
_result	0	2022-01-12 14:04:49.863000+00:00	CL800-0306605	79
_result	0	2022-01-12 14:04:50.245000+00:00	CL800-0306605	79
_result	0	2022-01-12 14:04:50.627000+00:00	CL800-0306605	78
_result	0	2022-01-12 14:04:53.716000+00:00	CL800-0306605	77
_result	0	2022-01-12 14:04:53.737000+00:00	CL800-0306605	76
_result	0	2022-01-12 14:04:53.757000+00:00	CL800-0306605	76
_result	0	2022-01-12 14:04:55.271000+00:00	CL800-0306605	75
_result	0	2022-01-12 14:04:55.298000+00:00	CL800-0306605	74
_result	0	2022-01-12 14:04:56.916000+00:00	CL800-0306605	73
_result	0	2022-01-12 14:04:56.963000+00:00	CL800-0306605	73
_result	0	2022-01-12 14:04:57.705000+00:00	CL800-0306605	73
_result	0	2022-01-12 14:04:58.656000+00:00	CL800-0306605	72
_result	0	2022-01-12 14:04:59.436000+00:00	CL800-0306605	72
_result	0	2022-01-12 14:05:00.187000+00:00	CL800-0306605	72
_result	0	2022-01-12 14:05:00.912000+00:00	CL800-0306605	72
_result	0	2022-01-12 14:05:01.561000+00:00	CL800-0306605	72
_result	0	2022-01-12 14:05:02.260000+00:00	CL800-0306605	73
_result	0	2022-01-12 14:05:02.948000+00:00	CL800-0306605	74
_result	0	2022-01-12 14:05:04.454000+00:00	CL800-0306605	75
_result	0	2022-01-12 14:05:04.491000+00:00	CL800-0306605	75
_result	0	2022-01-12 14:05:05.190000+00:00	CL800-0306605	75
_result	0	2022-01-12 14:05:06.038000+00:00	CL800-0306605	74
_result	0	2022-01-12 14:05:06.936000+00:00	CL800-0306605	75
_result	0	2022-01-12 14:05:07.984000+00:00	CL800-0306605	75
_result	0	2022-01-12 14:05:08.971000+00:00	CL800-0306605	75
_result	0	2022-01-12 14:05:09.975000+00:00	CL800-0306605	76
_result	0	2022-01-12 14:05:10.971000+00:00	CL800-0306605	76
_result	0	2022-01-12 14:05:11.976000+00:00	CL800-0306605	76
_result	0	2022-01-12 14:05:13.011000+00:00	CL800-0306605	76
_result	0	2022-01-12 14:05:13.957000+00:00	CL800-0306605	75
_result	0	2022-01-12 14:05:15.026000+00:00	CL800-0306605	75
_result	0	2022-01-12 14:05:16.018000+00:00	CL800-0306605	75
_result	0	2022-01-12 14:05:17.012000+00:00	CL800-0306605	76
_result	0	2022-01-12 14:05:18.023000+00:00	CL800-0306605	76
_result	0	2022-01-12 14:05:18.993000+00:00	CL800-0306605	77
_result	0	2022-01-12 14:05:20.019000+00:00	CL800-0306605	77
_result	0	2022-01-12 14:16:31.234000+00:00	CL800-0306605	92
_result	0	2022-01-12 14:16:31.611000+00:00	CL800-0306605	91
_result	0	2022-01-12 14:16:31.965000+00:00	CL800-0306605	90
_result	0	2022-01-12 14:16:32.361000+00:00	CL800-0306605	90
_result	0	2022-01-12 14:16:32.745000+00:00	CL800-0306605	89
_result	0	2022-01-12 14:16:33.162000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:16:34.284000+00:00	CL800-0306605	83
_result	0	2022-01-12 14:16:34.328000+00:00	CL800-0306605	80
_result	0	2022-01-12 14:16:35.998000+00:00	CL800-0306605	79
_result	0	2022-01-12 14:16:36.039000+00:00	CL800-0306605	78
_result	0	2022-01-12 14:16:36.837000+00:00	CL800-0306605	78
_result	0	2022-01-12 14:16:37.537000+00:00	CL800-0306605	78
_result	0	2022-01-12 14:16:38.215000+00:00	CL800-0306605	78
_result	0	2022-01-12 14:16:38.874000+00:00	CL800-0306605	79
_result	0	2022-01-12 14:16:39.518000+00:00	CL800-0306605	80
_result	0	2022-01-12 14:16:40.302000+00:00	CL800-0306605	81
_result	0	2022-01-12 14:16:41.056000+00:00	CL800-0306605	81
_result	0	2022-01-12 14:16:41.620000+00:00	CL800-0306605	82
_result	0	2022-01-12 14:16:42.515000+00:00	CL800-0306605	82
_result	0	2022-01-12 14:16:43.495000+00:00	CL800-0306605	83
_result	0	2022-01-12 14:16:44.453000+00:00	CL800-0306605	83
_result	0	2022-01-12 14:16:45.528000+00:00	CL800-0306605	84
_result	0	2022-01-12 14:16:47.456000+00:00	CL800-0306605	85
_result	0	2022-01-12 14:16:47.488000+00:00	CL800-0306605	85
_result	0	2022-01-12 14:16:48.456000+00:00	CL800-0306605	85
_result	0	2022-01-12 14:16:49.428000+00:00	CL800-0306605	85
_result	0	2022-01-12 14:16:50.419000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:16:51.448000+00:00	CL800-0306605	88
_result	0	2022-01-12 14:16:52.434000+00:00	CL800-0306605	90
_result	0	2022-01-12 14:16:53.529000+00:00	CL800-0306605	92
_result	0	2022-01-12 14:16:54.455000+00:00	CL800-0306605	92
_result	0	2022-01-12 14:16:56.634000+00:00	CL800-0306605	93
_result	0	2022-01-12 14:16:57.310000+00:00	CL800-0306605	93
_result	0	2022-01-12 14:16:57.977000+00:00	CL800-0306605	92
_result	0	2022-01-12 14:16:58.590000+00:00	CL800-0306605	92
_result	0	2022-01-12 14:16:59.433000+00:00	CL800-0306605	91
_result	0	2022-01-12 14:17:00.458000+00:00	CL800-0306605	90
_result	0	2022-01-12 14:17:01.446000+00:00	CL800-0306605	89
_result	0	2022-01-12 14:17:02.434000+00:00	CL800-0306605	88
_result	0	2022-01-12 14:17:03.437000+00:00	CL800-0306605	88
_result	0	2022-01-12 14:17:05.426000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:05.442000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:06.433000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:07.426000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:08.428000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:09.463000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:11.411000+00:00	CL800-0306605	86
_result	0	2022-01-12 14:17:11.441000+00:00	CL800-0306605	86
_result	0	2022-01-12 14:17:13.433000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:13.488000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:14.441000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:15.462000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:16.447000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:17.426000+00:00	CL800-0306605	86
_result	0	2022-01-12 14:17:18.444000+00:00	CL800-0306605	83
_result	0	2022-01-12 14:17:19.461000+00:00	CL800-0306605	83
_result	0	2022-01-12 14:17:20.440000+00:00	CL800-0306605	83
_result	0	2022-01-12 14:17:21.491000+00:00	CL800-0306605	85
_result	0	2022-01-12 14:17:22.422000+00:00	CL800-0306605	85
_result	0	2022-01-12 14:17:23.428000+00:00	CL800-0306605	85
_result	0	2022-01-12 14:17:24.461000+00:00	CL800-0306605	85
_result	0	2022-01-12 14:17:25.458000+00:00	CL800-0306605	86
_result	0	2022-01-12 14:17:26.457000+00:00	CL800-0306605	88
_result	0	2022-01-12 14:17:27.495000+00:00	CL800-0306605	94
_result	0	2022-01-12 14:17:28.466000+00:00	CL800-0306605	96
_result	0	2022-01-12 14:17:29.423000+00:00	CL800-0306605	96
_result	0	2022-01-12 14:17:30.466000+00:00	CL800-0306605	96
_result	0	2022-01-12 14:17:32.430000+00:00	CL800-0306605	96
_result	0	2022-01-12 14:17:32.469000+00:00	CL800-0306605	96
_result	0	2022-01-12 14:17:33.465000+00:00	CL800-0306605	96
_result	0	2022-01-12 14:17:34.475000+00:00	CL800-0306605	96
_result	0	2022-01-12 14:17:35.474000+00:00	CL800-0306605	96
_result	0	2022-01-12 14:17:37.502000+00:00	CL800-0306605	95
_result	0	2022-01-12 14:17:37.521000+00:00	CL800-0306605	94
_result	0	2022-01-12 14:17:38.478000+00:00	CL800-0306605	91
_result	0	2022-01-12 14:17:39.474000+00:00	CL800-0306605	89
_result	0	2022-01-12 14:17:40.485000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:41.473000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:42.440000+00:00	CL800-0306605	88
_result	0	2022-01-12 14:17:43.446000+00:00	CL800-0306605	88
_result	0	2022-01-12 14:17:44.431000+00:00	CL800-0306605	86
_result	0	2022-01-12 14:17:45.445000+00:00	CL800-0306605	86
_result	0	2022-01-12 14:17:46.464000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:47.467000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:49.462000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:50.412000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:50.450000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:51.446000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:52.441000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:53.463000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:54.465000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:55.441000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:57.305000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:57.891000+00:00	CL800-0306605	87
_result	0	2022-01-12 14:17:58.545000+00:00	CL800-0306605	88
_result	0	2022-01-12 14:18:00.408000+00:00	CL800-0306605	90
_result	0	2022-01-12 14:18:00.438000+00:00	CL800-0306605	90
_result	0	2022-01-12 14:18:01.438000+00:00	CL800-0306605	92
_result	1	2022-01-12 14:03:34.359000+00:00	CL831-0201805	78
_result	1	2022-01-12 14:03:34.799000+00:00	CL831-0201805	79
_result	1	2022-01-12 14:03:35.478000+00:00	CL831-0201805	80
_result	1	2022-01-12 14:03:36.491000+00:00	CL831-0201805	79
_result	1	2022-01-12 14:03:37.309000+00:00	CL831-0201805	78
_result	1	2022-01-12 14:03:38.286000+00:00	CL831-0201805	77
_result	1	2022-01-12 14:03:39.057000+00:00	CL831-0201805	78
_result	1	2022-01-12 14:03:39.877000+00:00	CL831-0201805	80
_result	1	2022-01-12 14:03:40.719000+00:00	CL831-0201805	80
_result	1	2022-01-12 14:03:41.488000+00:00	CL831-0201805	82
_result	1	2022-01-12 14:03:42.362000+00:00	CL831-0201805	84
_result	1	2022-01-12 14:03:43.128000+00:00	CL831-0201805	85
_result	1	2022-01-12 14:03:43.987000+00:00	CL831-0201805	87
_result	1	2022-01-12 14:03:44.835000+00:00	CL831-0201805	88
_result	1	2022-01-12 14:03:45.613000+00:00	CL831-0201805	88
_result	1	2022-01-12 14:03:46.457000+00:00	CL831-0201805	88
_result	1	2022-01-12 14:03:47.255000+00:00	CL831-0201805	89
_result	1	2022-01-12 14:03:48.030000+00:00	CL831-0201805	91
_result	1	2022-01-12 14:03:48.854000+00:00	CL831-0201805	91
_result	1	2022-01-12 14:03:49.672000+00:00	CL831-0201805	92
_result	1	2022-01-12 14:03:50.675000+00:00	CL831-0201805	92
_result	1	2022-01-12 14:03:51.672000+00:00	CL831-0201805	92
